Name,Company

Mukesh Bansal,Cure.fit
Ankit Nagori,Cure.fit
Saurabh Sharma,Cure.fit
Senthil Kumaran,Cure.fit
Naresh Krishnaswamy,Cure.fit
Dharmendra Mehta,Cure.fit
Kristin Lorie,Cure.fit
Shriya Malpani,Cure.fit

Deepinder Goyal,Zomato
Gaurav Gupta,Zomato
Akriti Chopra,Zomato
Gunjan Patidar,Zomato
Durga Raghunath,Zomato
Mohit Gupta,Zomato
Mohit Sardana,Zomato
Surobhi Das,Zomato
Rohithari Rajan,Zomato

Kabeer Biswas,Dunzo
Mukund Jha,Dunzo
Dalvir Suri,Dunzo
Ankur Aggarwal,Dunzo
Vidyanand Krishnan,Dunzo
Brijesh Bharadwaj,Dunzo
Anirban Das,Dunzo

Aravind Sanka,Rapido
Pavan Guntupalli,Rapido
Rishikesh SR,Rapido
Vivek Krishna,Rapido
Amit Verma,Rapido
Srivatsa Katta,Rapido
Vishy Kuruganti,Rapido
Nitin Gupta,Rapido

Mukul Rustagi,Classplus
Bikash Dash,Classplus
Vatsal Rustagi,Classplus
Sankalp Aggarwal,Classplus
Bhaswat Agarwal,Classplus
Nikhil Goel,Classplus
Vaibhav Goel,Classplus

Niraj Singh,Spinny
Ramanshu Mahaur,Spinny
Mohit Gupta,Spinny
Puneet Gaur,Spinny
Mohit Kataria,Spinny
Suvid Bajaj,Spinny
Parag Raheja,Spinny
Ravi Hans Jora,Spinny
Saurabh Marwah,Spinny

Sourabh Gupta,Vernacular.ai
Akshay Deshraj,Vernacular.ai
Manoj Sarda,Vernacular.ai
Prateek Gupta ,Vernacular.ai
Gangadhar Kodandaram,Vernacular.ai

Prashant Tandon,1mg
Vikas Chauhan,1mg
Gaurav Agarwal,1mg
Tanmay Saksena,1mg
Mayank Gupta,1mg
Priyang Agarwal,1mg
Prateek Verma,1mg
Ujjwal Saksena,1mg

Gaurav Munjal,Unacademy
Roman Saini,Unacademy
Hemesh Singh,Unacademy
Vivek Sinha,Unacademy
Karan Shroff,Unacademy
Ganesh BJ,Unacademy
Navneet Sharma,Unacademy
Shashank Murali,Unacademy
Amol Naik,Unacademy

B. Amrish Rau,Pine labs
Vicky Bindra,Pine labs
Nitish Asthana,Pine labs
Kumar Sudarsan,Pine labs
Marc Mathenz,Pine labs
Kush Mehra,Pine labs
Ajith Prabhu,Pine labs
Vijaylakshmi Swaminathan,Pine labs
Krishnan Iyer,Pine labs
Phanimohan Kalagara,Pine labs
Gayatri Rath,Pine labs

Abhinav Gupta ,Cars24
Vikram Chopra,Cars24
Mehul Agrawal,Cars24
Gajendra Jangid,Cars24
Ruchit Agarwal,Cars24
Nandan Sharma,Cars24
Mrinal Sinha,Cars24

Kunal Bahl,Snapdeal
Rohit Bansal,Snapdeal
Vikas Bhasin,Snapdeal
Saurabh Bansal,Snapdeal
Mayank Jain,Snapdeal
Priyaranjan Kumar,Snapdeal
Himanshu Chakrawarti,Snapdeal

Greg Moran,Zoomcar
David Back,Zoomcar
Sudhindra Reddy,Zoomcar
Sreejith Hrishikesh,Zoomcar
Nirmal NR,Zoomcar
Hemanth Aluru,Zoomcar
Geiv Dubash,Zoomcar
Varun Jha,Zoomcar
Rajesh Bysani,Zoomcar

Harshvardhan Lunia,LendinKart
Mukul Sachan,LendinKart
Mukesh Singh,LendinKart
Sundar Gosakan,LendinKart
Giridhar Yasa,LendinKart
Manish Bhatia,LendinKart
Dhanesh Padmanabhan,LendinKart
Vikram Singh,LendinKart
Sudeep Bhatia,LendinKart
Abhishek Singh,LendinKart
Asit Kumar,LendinKart
Dillip Ranjan Rout,LendinKart

T. A. Krishnan,Ecom Express
K. Satyanarayana,Ecom Express
Anil Atri,Ecom Express
Sanjeev Saxena,Ecom Express
Dipanjan Banerjee,Ecom Express
Vipul Agarwal,Ecom Express
Ashish Sikka,Ecom Express
Amit Choudhary,Ecom Express
Vishwachetan Nadamani,Ecom Express
Rahul Tandon,Ecom Express

Saahil Goel,ShipRocket
Gautam Kapoor,ShipRocket
Akshay Ghulati,ShipRocket
Sunil Kumar,ShipRocket
Vishesh Khurana,ShipRocket
Atul Mehta,ShipRocket
Tanmay Kumar,ShipRocket

Deepak Garg,Rivigo
Gazal Kalra,Rivigo
Qasim Zaidi,Rivigo
Rohan Mittal,Rivigo
Pramodh Karumbaiah,Rivigo
Himanshu Bhattacherjee,Rivigo
Prabhav Sharma,Rivigo

Asish Mohapatra,OfBusiness
Ruchi Kalra,OfBusiness
Bhuvan Gupta,OfBusiness
Nitin Jain,OfBusiness
Vasant Sridhar,OfBusiness
Jaivee Joseph,OfBusiness
Rahul Nayak,OfBusiness
Piyush U,OfBusiness
Ashish Kumar,OfBusiness

Pawan Kumar Chandana,Skyroot Aerospace
Naga Bharath Daka,Skyroot Aerospace
Vasudevan Gnanagandhi,Skyroot Aerospace
Kishore Tallam,Skyroot Aerospace
Kunal G,Skyroot Aerospace
Venkata Sai Kiran C.,Skyroot Aerospace
Sirish P,Skyroot Aerospace
Selvaraju S,Skyroot Aerospace
